,valvula 1,valvula 2,bomba 1,bomba 2,H1,H2,H3,H4,KP,KD,KI,REF1,REF2
0,0.0,0.0,0.7,0.6,39.99999999999909,39.99999999999955,39.99998797518991,39.99999155299413,1,1,0,1,1
1,0.0,0.0,0.7,0.6,39.999897885608156,39.999949596346475,39.87221851849686,39.910216645047235,1,1,0,1,1
2,0.0,0.0,0.7,0.6,39.99962663679915,39.999815693914144,39.75580949131803,39.82838663386366,1,1,0,1,1
3,0.0,0.0,0.7,0.6,39.999204143513445,39.99960708929493,39.643663821616556,39.749519770716745,1,1,0,1,1
4,0.0,0.0,0.7,0.6,39.99876886354719,39.99939213476303,39.556974019607324,39.688532028379164,1,1,0,1,1
5,0.0,0.0,0.7,0.6,39.99799853826781,39.99901164795496,39.43542317196792,39.60298531389651,1,1,0,1,1
6,0.0,0.0,0.7,0.6,39.996964822402695,39.99850094522952,39.305136217426266,39.511246392910365,1,1,0,1,1
7,0.0,0.0,0.7,0.6,39.99553947222771,39.99779657401176,39.158161887650344,39.40770273278292,1,1,0,1,1
8,0.0,0.0,0.7,0.6,39.99430793625431,39.997187841091886,39.04946603221708,39.33108886037851,1,1,0,1,1
9,0.0,0.0,0.7,0.6,39.99316304227076,39.99662183018809,38.95865508977102,39.267056572295246,1,1,0,1,1
10,0.0,0.0,0.7,0.6,39.991612348593314,39.995855053411404,38.84714353185618,39.18839727046245,1,1,0,1,1
11,0.0,0.0,0.7,0.6,39.98975830424996,39.994938077535885,38.7267430424984,39.103429677133235,1,1,0,1,1
12,0.0,0.0,0.7,0.6,39.98781955345805,39.99397899669153,38.61213538341809,39.02251320049148,1,1,0,1,1
13,0.0,0.0,0.7,0.6,39.98492068628651,39.99254458454091,38.45682472558192,38.912801403385714,1,1,0,1,1
14,0.01,0.0,0.7,0.59,39.983679673233084,39.991082483511114,38.31343678232709,38.81209535384226,1,1,0,1,1
15,0.07,0.01,0.69,0.59,39.992695597653025,39.9907390361807,38.16444414685962,38.71085394051075,1,1,0,1,1
16,0.060000000000000005,0.29000000000000004,0.7,0.59,39.99928825136589,40.02462707066673,38.054153407441866,38.61656780317945,1,1,0,1,1
17,0.060000000000000005,0.28,0.8500000000000001,0.6,40.00929946584082,40.06358799050208,37.922529542271235,38.503424267577266,1,1,0,1,1
18,0.060000000000000005,0.28,0.8500000000000001,0.66,40.01405411856124,40.084440297878274,37.85637932065736,38.448499247791645,1,1,0,1,1
19,0.060000000000000005,0.28,0.8500000000000001,0.6900000000000001,40.022250078068666,40.12280843100338,37.73798298653652,38.351822310072784,1,1,0,1,1
20,0.07,0.29000000000000004,0.8400000000000001,0.8800000000000002,40.03101518358986,40.16844561190515,37.62154194256883,38.26617339736519,1,1,0,1,1
21,0.07,0.29000000000000004,0.76,0.8800000000000002,40.03935696689744,40.22005742236129,37.48963014845778,38.170280639854276,1,1,0,1,1
22,0.060000000000000005,0.29000000000000004,0.9700000000000002,0.8900000000000002,40.04847208141569,40.27109371740446,37.35980405243157,38.07323250850833,1,1,0,1,1
23,0.060000000000000005,0.28,0.9700000000000002,0.9200000000000003,40.0581246019969,40.32644961425572,37.215966722658145,37.967489823147325,1,1,0,1,1
24,0.07,0.0,0.9700000000000002,0.9100000000000003,40.069528102893734,40.32326289167151,37.07236115294187,37.86602666548589,1,1,0,1,1
25,0.26,0.01,0.9600000000000002,0.9100000000000003,40.133356657911754,40.321744428132156,36.91034689081959,37.753355529564345,1,1,0,1,1
26,0.26,0.0,0.9900000000000002,0.9200000000000003,40.196359833515096,40.31796349928094,36.754717735895966,37.64337172892612,1,1,0,1,1
27,0.27,0.01,0.9900000000000002,0.9800000000000002,40.26541776150004,40.3162536977802,36.590344645133904,37.52711568320639,1,1,0,1,1
28,0.48000000000000004,0.02,0.9800000000000002,0.9800000000000002,40.38462093613927,40.31680075695869,36.436321203188314,37.419698234286386,1,1,0,1,1
29,0.48000000000000004,0.02,0.9500000000000002,0.9800000000000002,40.488228327693896,40.31716101904211,36.297570741642964,37.32594239008768,1,1,0,1,1
30,0.47000000000000003,0.01,0.69,0.9900000000000002,40.55232979183297,40.31552859384213,36.17263206561721,37.26490970654318,1,1,0,1,1
31,0.47000000000000003,0.02,0.69,0.9900000000000002,40.639668983660144,40.31578368444763,36.00176965995169,37.18137590861995,1,1,0,1,1
32,0.48000000000000004,0.16999999999999998,0.6799999999999999,0.9900000000000002,40.70977279404287,40.34725859625677,35.865424915839,37.11616527441239,1,1,0,1,1
33,0.49000000000000005,0.16999999999999998,0.6799999999999999,0.9800000000000002,40.77580738519369,40.375934857877,35.739893018112156,37.05653584066072,1,1,0,1,1
34,0.48000000000000004,0.16999999999999998,0.69,0.7,40.85194062436117,40.39840845812814,35.606084786710156,36.98521875601172,1,1,0,1,1
35,0.48000000000000004,0.15999999999999998,0.8400000000000001,0.71,40.938038296567605,40.41763940467938,35.4833087809523,36.9053625533716,1,1,0,1,1
36,0.48000000000000004,0.25999999999999995,0.8400000000000001,0.71,41.02207577109113,40.450831546551576,35.36992488999129,36.82717981839947,1,1,0,1,1
37,0.47000000000000003,0.29,0.8500000000000001,0.71,41.09960956616814,40.48583340008683,35.26588334746702,36.75289007011729,1,1,0,1,1
38,0.19000000000000006,0.29,0.8500000000000001,0.72,41.12495483181965,40.5212127235893,35.16151556708292,36.6707791394732,1,1,0,1,1
39,0.19000000000000006,0.27999999999999997,0.8500000000000001,0.8700000000000001,41.152465511994805,40.567087943256865,35.03666849331171,36.580909136055546,1,1,0,1,1
